date,gdp_growth,cpi,unemployment
20231231,0.00900845,100.7982098,0.08337639
20240131,0.07549936,100.99310435,0.10588367
20240229,0.01240816,101.72357923,0.04276549
20240331,0.02897025,102.52328354,0.11817877
20240430,0.06772775,103.14532575,0.06260211
20240531,0.06025358,103.7194977,0.0502999
20240630,0.07971982,104.18326686,0.0474479
20240731,0.01447554,104.75926678,0.05240586
20240831,0.07561414,105.21841577,0.10817749
20240930,0.05040665,105.89822089,0.04186049
20241031,0.07396354,106.03370304,0.05784858
20241130,0.01023111,106.56338097,0.08781513
20241231,0.04066969,106.69650192,0.10318267
20250131,0.0323053,107.25735427,0.07015363
20250228,0.06824196,108.03335485,0.09352238
20250331,-0.01278944,108.19628036,0.04260618
20250430,0.01018122,108.65216928,0.0556152
20250531,-0.00804812,108.89245112,0.11840522
20250630,0.00468342,109.13251642,0.062724
20250731,-0.01797773,109.65382538,0.09217523
20250831,-0.01082828,109.84007139,0.10876636
20250930,-0.0087682,110.35245797,0.03717945
20251031,0.03346805,111.09119047,0.04055289
20251130,0.04706654,111.78632466,0.08934638
20251231,0.04322617,112.54157181,0.05257415
