date,permco,return,volume,marketcap
20230731,1,-0.0839661842334357,1914487.746661551,32475753593.134872
20230731,2,-0.004118981157197721,1766827.18350131,80273327393.41258
20230731,3,0.19887926995135902,755035.2332602602,95618526068.65259
20230731,4,0.08162661378501851,1885307.203346448,30300875598.399223
20230731,5,0.04267874165919458,1093800.712559355,88253722569.01006
20230831,1,-0.17115775001405412,673443.1620708884,12039932827.560637
20230831,2,-0.10126633557180567,138423.22351177616,9262552436.768854
20230831,3,-0.15507281511716148,1115892.9307591196,67099474565.213165
20230831,4,0.05290469266459552,1995140.8942645546,13422550316.698425
20230831,5,0.15616676298787846,1962418.843611065,72417984588.40988
20230930,1,0.06095033425768687,1042231.3985027653,64731277505.1673
20230930,2,-0.006691645865503915,1582242.8766914476,4086893559.040438
20230930,3,0.02830704738627729,167645.02684508942,60846628688.64246
20230930,4,0.15628231458585112,237913.88648820578,45961749300.03196
20230930,5,-0.13077270803144436,426965.34276468743,54000953213.882225
20231031,1,-0.16008624206614758,1094742.8426581156,81365800597.66124
20231031,2,0.10041883131829182,1662388.3757122308,59347790559.87842
20231031,3,0.13726076347711658,369493.68801895325,97978440217.30057
20231031,4,-0.05510175189436178,528553.3615725734,19467170975.674984
20231031,5,-0.10041840092198383,1750413.683975073,13265145385.729916
20231130,1,-0.07622853676613461,1320541.6113670222,81332760242.82875
20231130,2,-0.021539417265733413,1441027.9980767886,14092864371.097595
20231130,3,-0.08615467857785385,1966332.3917698404,36423643860.33188
20231130,4,0.07633436180232317,1762845.4765203053,8069185731.541017
20231130,5,-0.15309827756490405,1352868.051349704,25157306645.708027
20231231,1,-0.014222083294829713,164636.5132947654,28490926484.18222
20231231,2,0.16219480802634406,939242.6709495219,26859690526.517326
20231231,3,0.1483894435979385,624524.1330801256,68970741962.98558
20231231,4,0.13600007591801944,263807.2212719556,36449413875.29435
20231231,5,0.00322588051320008,1643733.1210523616,99363070917.05156
20240131,1,0.00902223029320734,1443434.8080552,2107597242.7632866
20240131,2,-0.1896264543937468,320564.8646362121,49414867821.67887
20240131,3,0.17785740228239377,1829532.2021930318,41738360335.08987
20240131,4,-0.1258229887042429,521082.2211325345,55286519276.8154
20240131,5,0.1104307020596253,1890592.274908649,68468451637.441246
20240229,1,-0.17004978082425026,1981864.8886228828,64783104604.088875
20240229,2,0.008888949726377826,1947299.253071663,80389074203.45773
20240229,3,-0.03805199998484268,1680752.8848375904,79818411120.13046
20240229,4,-0.17019057641713067,1697663.4765710582,25324256270.863087
20240229,5,-0.15492617066474423,1160434.1339815613,40076600276.86863
20240331,1,-0.0415757900627273,781742.0106725867,78459462229.07184
20240331,2,0.01202767566920157,1114866.534641602,34873272781.89894
20240331,3,-0.09421519436407047,174686.60264936084,87130377232.64436
20240331,4,0.1304708550692762,1494920.807765227,50427898322.9106
20240331,5,-0.09981442854962275,165373.34178570908,47252662018.98429
20240430,1,0.13973145174335083,1371301.4474858176,66582439813.915405
20240430,2,0.10534151914351869,118481.13591901606,92144047381.97858
20240430,3,-0.06310865663248572,1216618.2645160835,64434597182.76649
20240430,4,-0.12811093864936274,1536794.9788450974,82842484734.16061
20240430,5,0.13576317521968873,155385.14414265362,18792423665.37853
20240531,1,-0.0971718811038743,1610515.3471821307,72662609750.3602
