permno,date,bm,mvel1,mom12m,beta,sp,securedind,mom36m,zerotrade,nincr,indmom,std_turn,ill,baspread,mom6m,idiovol,turn,dolvol,chmom,maxret,retvol
1,19891231,0.1888277273999999,26654726.25,0.6983626739,0.5173340388000001,0.5266289295000001,0.0,0.2794180009,6.6547283e-08,1.0,0.2446268821999999,0.4431147182,2.808558e-10,0.014820985,0.2672032504,0.0311313443,0.3834961839,15.711288843,0.0182670323,0.0311418679,0.0127084463999999
2,19891231,1.1239933722,26455045.5,0.1085439944,0.8747521262000001,4.7604767949,1.0,0.3192022809,8.1408046e-08,2.0,0.0924199094,0.3738374407,3.101343e-10,0.018762578,0.1158937263,0.0295492775999999,0.3325887148,15.711288843,0.1287668599,0.0203488376,0.0128828414999999
3,19891231,0.2531066111,5587447.5,0.2446758575,1.577463616,0.7667779218,0.0,0.906805252,1.1654242e-08,0.0,0.1682692110999999,5.9804178015,2.835769e-10,0.0274351638,-0.023989645,0.049046828,2.0717400681,15.711288843,-0.344176222,0.0227272733999999,0.0176674637999999
4,19891231,0.4371600278,12228382.25,0.3375323247,0.373167507,0.6110493029,0.0,0.1309780616,3.9686838e-08,0.0,0.2127470125,0.8091282308,3.322231e-10,0.0162149301,0.0426231791,0.0308655732,0.6333021617,15.711288843,-0.174561427,0.0318725109,0.0114226921
5,19891231,0.6987038109,2034063.75,0.08663544,1.0981310223,3.7890000981,0.0,-0.110973678,9.4688908e-09,0.0,0.2147245793,11.633710236,1.4541425e-09,0.0191821319,-0.0153401139999999,0.0356206173,1.1842347616,14.295683399,-0.17381104,0.0321285129,0.0174752087
1,19900131,0.1888277273999999,26366583.75,0.7697375651,0.5186380927,0.5266289295000001,0.0,0.2727031134,6.7872066e-08,2.0,0.2432901754,0.7665907448,2.951289e-10,0.0176933343,0.3833035907,0.0306444835999999,0.3729546021,15.374131168,0.1039477233,0.0253378375999999,0.0145592183
2,19900131,1.1239933722,25438640.5,0.1248023905,0.8674617406,4.7604767949,1.0,0.4436522504,7.617374499999999e-08,0.0,0.0609234303,0.8403554579000001,2.888729e-10,0.0177124509,0.0852224116,0.029342065,0.2985920343,15.374131168,0.0085572216,0.0210843366,0.012674383
3,19900131,0.2531066111,4413370.5,0.1099552571,1.5708633777,0.7667779218,0.0,1.0146549954,5.1953038e-09,1.0,0.0841872214,15.599480325,2.549717e-10,0.0446545518,0.0778105551999999,0.0493755032,3.0042198474,15.374131168,-0.171229217,0.0296296291,0.0299439783999999
4,19900131,0.4371600278,12764793.0,0.3805163056,0.3722955906,0.6110493029,0.0,0.2126140607,4.5410509e-08,1.0,0.2807566619,0.9539543004,3.006804e-10,0.0174090989,0.1296049231,0.0308880439,0.5893302774,15.374131168,-0.036682222,0.0190114062,0.0096256163
5,19900131,0.6987038109,1913941.875,0.08093954,1.1008141101,3.7890000981,0.0,-0.124651006,1.09825e-08,1.0,0.1825711737,10.011771695,9.512685e-10,0.0240136512,-0.100259349,0.0354554304999999,1.6474414007,15.314088695,-0.335513737,0.0303030312,0.0198617486
