PERMNO,date,RET
1,1991-12-31,0.156757
1,1992-01-31,-0.034268
1,1992-02-29,0.054839
1,1992-03-31,0.003425
1,1992-04-30,0.015291
1,1992-05-31,0.060241
1,1992-06-30,-0.087727
1,1992-07-31,0.046875
1,1992-08-31,0.026866
1,1992-09-30,-0.054884
1,1992-10-31,0.003086
1,1992-11-30,-0.018092
1,1992-12-31,0.053459
1,1993-01-31,0.01194
1,1993-02-28,0.0
1,1993-03-31,0.009912
1,1993-04-30,-0.076246
1,1993-05-31,0.053968
1,1993-06-30,0.040241
1,1993-07-31,0.005814
1,1993-08-31,0.00289
1,1993-09-30,-0.022017
1,1993-10-31,0.026627
1,1993-11-30,-0.027781
1,1993-12-31,0.0625
1,1994-01-31,-0.084034
1,1994-02-28,0.042813
1,1994-03-31,-0.042346
1,1994-04-30,0.027692
1,1994-05-31,-0.035928
1,1994-06-30,0.014161
1,1994-07-31,0.092308
1,1994-08-31,0.03662
1,1994-09-30,0.061304
1,1994-10-31,0.03599
1,1994-11-30,0.018759
1,1994-12-31,0.007335
1,1995-01-31,0.019417
1,1995-02-28,0.047619
1,1995-03-31,0.029
1,1995-04-30,0.031042
1,1995-05-31,0.060215
1,1995-06-30,0.038053
1,1995-07-31,0.029412
1,1995-08-31,-0.020952
1,1995-09-30,0.077354
1,1995-10-31,0.041667
1,1995-11-30,0.056974
1,1995-12-31,-0.019802
1,1996-01-31,0.015152
1,1996-02-29,0.07131
1,1996-03-31,0.027864
1,1996-04-30,-0.015106
1,1996-05-31,0.128834
1,1996-06-30,0.067935
1,1996-07-31,-0.043367
1,1996-08-31,0.072
1,1996-09-30,0.014925
1,1996-10-31,-0.007371
1,1996-11-30,0.014851
1,1996-12-31,0.02934
1,1997-01-31,0.099762
1,1997-02-28,0.053996
1,1997-03-31,-0.08377
1,1997-04-30,0.141256
1,1997-05-31,0.076621
1,1997-06-30,-0.005255
1,1997-07-31,0.016544
1,1997-08-31,-0.170886
1,1997-09-30,0.066783
1,1997-10-31,-0.071721
1,1997-11-30,0.106225
1,1997-12-31,0.067
1,1998-01-31,-0.029053
1,1998-02-28,0.059846
1,1998-03-31,0.130601
1,1998-04-30,-0.020178
1,1998-05-31,0.032949
1,1998-06-30,0.092823
1,1998-07-31,-0.05848
1,1998-08-31,-0.190994
1,1998-09-30,-0.11286
1,1998-10-31,0.172451
1,1998-11-30,0.039223
1,1998-12-31,-0.043711
1,1999-01-31,-0.025187
1,1999-02-28,-0.02201
1,1999-03-31,-0.036634
1,1999-04-30,0.108961
1,1999-05-31,0.006428
1,1999-06-30,-0.092555
1,1999-07-31,-0.023185
1,1999-08-31,-0.012384
1,1999-09-30,-0.190637
1,1999-10-31,0.222798
1,1999-11-30,0.141483
1,1999-12-31,-0.133023
1,2000-01-31,-0.013948
1,2000-02-29,-0.153428
1,2000-03-31,-0.031208
1,2000-04-30,0.006658
1,2000-05-31,0.12963
1,2000-06-30,0.079297
1,2000-07-31,0.067465
1,2000-08-31,-0.141692
1,2000-09-30,0.050736
1,2000-10-31,0.095238
1,2000-11-30,0.040083
1,2000-12-31,-0.026946
1,2001-01-31,-0.048205
1,2001-02-28,-0.08569
1,2001-03-31,-0.145012
1,2001-04-30,0.022808
1,2001-05-31,0.026196
1,2001-06-30,-0.046835
1,2001-07-31,-0.008889
1,2001-08-31,0.091256
1,2001-09-30,-0.033696
1,2001-10-31,0.021985
1,2001-11-30,-0.015455
1,2001-12-31,0.004046
1,2002-01-31,-0.07211
1,2002-02-28,0.0832
1,2002-03-31,0.106985
1,2002-04-30,0.062189
1,2002-05-31,0.000901
1,2002-06-30,0.011519
1,2002-07-31,-0.108214
1,2002-08-31,0.021225
1,2002-09-30,-0.055686
1,2002-10-31,-0.030859
1,2002-11-30,-0.013769
1,2002-12-31,-0.039439
1,2003-01-31,-0.077099
1,2003-02-28,-0.005932
1,2003-03-31,0.011934
1,2003-04-30,-0.001976
1,2003-05-31,0.12797
1,2003-06-30,0.023261
1,2003-07-31,-0.031028
1,2003-08-31,-0.032244
1,2003-09-30,-0.007813
1,2003-10-31,0.080075
1,2003-11-30,0.006897
1,2003-12-31,0.091398
1,2004-01-31,-0.029754
1,2004-02-29,0.014622
1,2004-03-31,0.011809
1,2004-04-30,0.005368
1,2004-05-31,0.015424
1,2004-06-30,-0.012074
1,2004-07-31,-0.131141
1,2004-08-31,0.01938
1,2004-09-30,-0.098636
1,2004-10-31,0.015231
1,2004-11-30,-0.027054
1,2004-12-31,0.059272
1,2005-01-31,-0.003602
1,2005-02-28,0.031574
1,2005-03-31,-0.01986
1,2005-04-30,0.042477
1,2005-05-31,0.027394
1,2005-06-30,-0.058257
1,2005-07-31,0.048144
1,2005-08-31,0.005484
1,2005-09-30,-0.012045
1,2005-10-31,-0.009493
1,2005-11-30,0.004441
1,2005-12-31,-0.055751
1,2006-01-31,0.026544
1,2006-02-28,0.014258
1,2006-03-31,0.005004
1,2006-04-30,0.00215
1,2006-05-31,0.049333
1,2006-06-30,-0.015898
1,2006-07-31,0.034403
1,2006-08-31,0.006966
1,2006-09-30,0.004017
1,2006-10-31,0.045658
1,2006-11-30,0.00899
1,2006-12-31,0.030322
1,2007-01-31,-0.007668
1,2007-02-28,-0.025063
1,2007-03-31,0.035561
1,2007-04-30,0.087292
1,2007-05-31,0.015329
1,2007-06-30,-0.006416
1,2007-07-31,-0.003823
1,2007-08-31,0.032048
1,2007-09-30,0.074935
1,2007-10-31,0.074648
1,2007-11-30,0.01101
1,2007-12-31,-0.011755
1,2008-01-31,-0.038618
1,2008-02-29,-0.009153
1,2008-03-31,0.047725
1,2008-04-30,-0.032857
1,2008-05-31,-0.027348
1,2008-06-30,-0.085575
1,2008-07-31,-0.009234
1,2008-08-31,0.011068
1,2008-09-30,0.022854
1,2008-10-31,-0.166793
1,2008-11-30,0.072401
1,2008-12-31,-0.034137
1,2009-01-31,-0.056329
1,2009-02-28,-0.043773
1,2009-03-31,0.085924
1,2009-04-30,-0.020478
1,2009-05-31,0.141928
1,2009-06-30,-0.01546
1,2009-07-31,0.03855
1,2009-08-31,-0.021469
1,2009-09-30,0.109494
1,2009-10-31,-0.007263
1,2009-11-30,0.08066
1,2009-12-31,-0.003497
1,2010-01-31,-0.048246
1,2010-02-28,-0.028203
1,2010-03-31,0.051593
1,2010-04-30,-0.028182
1,2010-05-31,-0.038354
1,2010-06-30,-0.016342
1,2010-07-31,0.099561
1,2010-08-31,0.014017
1,2010-09-30,0.055071
1,2010-10-31,0.047847
1,2010-11-30,0.037345
1,2010-12-31,0.041159
1,2011-01-31,-0.044397
1,2011-02-28,0.017025
1,2011-03-31,0.045213
1,2011-04-30,0.016883
1,2011-05-31,-0.009635
1,2011-06-30,0.014219
1,2011-07-31,0.0107
1,2011-08-31,0.035877
1,2011-09-30,-0.034351
1,2011-10-31,0.011249
1,2011-11-30,-0.009075
1,2011-12-31,0.040756
1,2012-01-31,-0.034872
1,2012-02-29,0.034503
1,2012-03-31,0.066705
1,2012-04-30,0.031212
1,2012-05-31,-0.020833
1,2012-06-30,0.053125
1,2012-07-31,0.03338
1,2012-08-31,-0.074257
1,2012-09-30,0.020989
1,2012-10-31,-0.019773
1,2012-11-30,0.026762
1,2012-12-31,-0.04404
1,2013-01-31,0.02731
1,2013-02-28,0.039742
1,2013-03-31,0.051653
1,2013-04-30,0.046736
1,2013-05-31,-0.05528
1,2013-06-30,0.010002
1,2013-07-31,-0.000748
1,2013-08-31,-0.047405
1,2013-09-30,-0.000524
1,2013-10-31,0.044615
1,2013-11-30,0.022744
1,2013-12-31,0.027868
1,2014-01-31,-0.084483
1,2014-02-28,0.010048
1,2014-03-31,0.020026
1,2014-04-30,0.055096
1,2014-05-31,0.002942
1,2014-06-30,0.042899
1,2014-07-31,-0.072474
1,2014-08-31,0.061848
1,2014-09-30,0.029842
1,2014-10-31,-0.018284
1,2014-11-30,0.077722
1,2014-12-31,-0.05822
1,2015-01-31,-0.02487
1,2015-02-28,0.051737
1,2015-03-31,-0.055889
1,2015-04-30,0.000247
1,2015-05-31,0.009862
1,2015-06-30,-0.03418
1,2015-07-31,0.047158
1,2015-08-31,-0.042843
1,2015-09-30,0.028739
1,2015-10-31,0.055583
1,2015-11-30,0.014168
1,2015-12-31,0.007977
1,2016-01-31,-0.000931
1,2016-02-29,0.004893
1,2016-03-31,0.0837
1,2016-04-30,-0.034275
1,2016-05-31,-0.004464
1,2016-06-30,0.024215
1,2016-07-31,-0.037503
1,2016-08-31,-0.004584
1,2016-09-30,-0.017499
1,2016-10-31,0.00189
1,2016-11-30,-0.040094
1,2016-12-31,0.027509
1,2017-01-31,0.002653
1,2017-02-28,0.009382
1,2017-03-31,0.020257
1,2017-04-30,0.01673
1,2017-05-31,0.053766
1,2017-06-30,-0.005498
1,2017-07-31,0.022074
1,2017-08-31,-0.006326
1,2017-09-30,-0.003732
1,2017-10-31,0.021551
1,2017-11-30,0.00348
1,2017-12-31,0.002403
1,2018-01-31,0.037271
1,2018-02-28,-0.091826
1,2018-03-31,0.013882
1,2018-04-30,-0.005066
1,2018-05-31,-0.00486
1,2018-06-30,0.02907
1,2018-07-31,0.063156
1,2018-08-31,-0.044178
1,2018-09-30,0.045098
1,2018-10-31,0.036588
1,2018-11-30,0.060777
1,2018-12-31,-0.060516
1,2019-01-31,0.016473
1,2019-02-28,-0.057968
1,2019-03-31,0.042347
1,2019-04-30,0.046948
1,2019-05-31,0.001427
1,2019-06-30,0.044576
1,2019-07-31,0.033582
1,2019-08-31,0.045791
1,2019-09-30,-0.003634
1,2019-10-31,-0.000184
1,2019-11-30,-0.011574
1,2019-12-31,0.036517
1,2020-01-31,0.055104
1,2020-02-29,-0.084075
1,2020-03-31,-0.165078
1,2020-04-30,0.037062
1,2020-05-31,0.017215
1,2020-06-30,-0.034062
1,2020-07-31,0.057296
