date,dp,ep_macro,bm_macro,ntis,tbl,tms,dfy,svar
19911231,-3.5316,-3.2626,0.4203,0.0318,0.0407,0.0323,0.0095,0.002
19920131,-3.5082,-3.2379,0.4132,0.0319,0.038,0.0396,0.0093,0.0009
19920229,-3.5144,-3.2429,0.4076,0.0336,0.0384,0.0393,0.0094,0.0009
19920331,-3.4891,-3.2163,0.4021,0.0419,0.0404,0.0393,0.009,0.0005
19920430,-3.5167,-3.2262,0.3873,0.0387,0.0375,0.0428,0.0088,0.0017
19920531,-3.5178,-3.2099,0.383,0.0372,0.0363,0.0418,0.0085,0.0007
19920630,-3.5004,-3.1755,0.392,0.0431,0.0366,0.0399,0.0083,0.0008
19920731,-3.537,-3.1949,0.3833,0.0415,0.0321,0.0405,0.0077,0.0009
19920831,-3.5107,-3.1518,0.3994,0.043,0.0313,0.0412,0.007,0.0004
19920930,-3.5177,-3.1424,0.3977,0.0411,0.0291,0.0419,0.007,0.0009
19921031,-3.5201,-3.1253,0.4033,0.0411,0.0286,0.0455,0.0085,0.0009
19921130,-3.5502,-3.1363,0.3936,0.038,0.0313,0.0435,0.0086,0.0005
19921231,-3.5605,-3.1278,0.3941,0.0388,0.0322,0.0404,0.0083,0.0005
19930131,-3.565,-3.1218,0.393,0.0418,0.03,0.0425,0.0076,0.0003
19930228,-3.5729,-3.1194,0.386,0.0407,0.0293,0.0405,0.0068,0.0011
19930331,-3.5889,-3.1253,0.3336,0.0371,0.0295,0.0407,0.0057,0.001
19930430,-3.562,-3.1081,0.3343,0.0398,0.0287,0.0414,0.0068,0.001
19930531,-3.5833,-3.1393,0.3249,0.0403,0.0296,0.0405,0.0078,0.0008
19930630,-3.5829,-3.1488,0.3259,0.0412,0.0307,0.0361,0.0074,0.0006
19930731,-3.5776,-3.125,0.3238,0.041,0.0304,0.0352,0.0076,0.0006
19930831,-3.6116,-3.1407,0.3139,0.0402,0.0302,0.0321,0.0075,0.0003
19930930,-3.6017,-3.1129,0.3224,0.0418,0.0295,0.0332,0.0068,0.0005
19931031,-3.6193,-3.1082,0.3114,0.0404,0.0302,0.0321,0.0064,0.0003
19931130,-3.6048,-3.0719,0.3111,0.0438,0.031,0.0341,0.0073,0.0006
19931231,-3.6133,-3.0591,0.3053,0.0457,0.0306,0.0348,0.0076,0.0003
19940131,-3.6418,-3.0787,0.2881,0.0437,0.0298,0.0339,0.0073,0.0004
19940228,-3.6079,-3.0359,0.2991,0.045,0.0325,0.0357,0.0068,0.001
19940331,-3.5577,-2.977,0.3075,0.0419,0.035,0.0375,0.0065,0.0009
19940430,-3.5658,-2.9526,0.3037,0.0398,0.0368,0.0377,0.0064,0.0014
19940531,-3.5748,-2.9303,0.2975,0.0396,0.0414,0.0345,0.0063,0.0008
19940630,-3.5443,-2.8696,0.3084,0.034,0.0414,0.036,0.0068,0.0008
19940731,-3.573,-2.8728,0.297,0.0312,0.0433,0.0313,0.0069,0.0003
19940831,-3.6076,-2.8827,0.2857,0.0287,0.0448,0.0313,0.0067,0.0006
19940930,-3.5781,-2.8291,0.2909,0.029,0.0462,0.0338,0.0064,0.0008
19941031,-3.5924,-2.8106,0.2861,0.026,0.0495,0.0314,0.0063,0.0012
19941130,-3.5457,-2.7327,0.299,0.0229,0.0529,0.0279,0.0064,0.0008
19941231,-3.5517,-2.7086,0.2916,0.0166,0.056,0.0239,0.0064,0.0007
19950131,-3.5757,-2.7116,0.2909,0.0151,0.0571,0.0209,0.0062,0.0003
19950228,-3.6111,-2.7265,0.2787,0.0145,0.0577,0.0181,0.0059,0.0005
19950331,-3.6381,-2.7332,0.3139,0.0144,0.0573,0.0182,0.0058,0.0005
19950430,-3.6608,-2.7418,0.302,0.013,0.0565,0.018,0.0057,0.0003
19950531,-3.6917,-2.7587,0.2923,0.0107,0.0567,0.011,0.0055,0.001
19950630,-3.708,-2.7614,0.2864,0.0083,0.0547,0.0123,0.006,0.0007
19950731,-3.7339,-2.7854,0.2772,0.0071,0.0542,0.0149,0.0063,0.0008
19950831,-3.7283,-2.7779,0.283,0.0091,0.054,0.0134,0.0062,0.0002
19950930,-3.7624,-2.8101,0.2725,0.0064,0.0528,0.0135,0.0061,0.0004
19951031,-3.7522,-2.8168,0.2744,0.0122,0.0528,0.0113,0.0063,0.0005
19951130,-3.7872,-2.8688,0.2572,0.0169,0.0536,0.0087,0.0066,0.0005
19951231,-3.7993,-2.8979,0.255,0.0155,0.0514,0.0089,0.0067,0.0008
19960131,-3.8238,-2.9293,0.2419,0.0161,0.05,0.0109,0.0066,0.0014
19960229,-3.8232,-2.9354,0.2379,0.0168,0.0483,0.0176,0.0064,0.0013
19960331,-3.8236,-2.9425,0.2393,0.0169,0.0496,0.0188,0.0068,0.0017
19960430,-3.8329,-2.9473,0.2401,0.0211,0.0495,0.0211,0.0069,0.001
19960531,-3.8515,-2.9615,0.2369,0.0264,0.0502,0.0215,0.0068,0.0011
19960630,-3.8498,-2.9554,0.2364,0.0272,0.0509,0.0194,0.0069,0.0004
19960731,-3.7939,-2.8983,0.2418,0.0311,0.0515,0.0192,0.007,0.0024
19960831,-3.8036,-2.9067,0.2381,0.0309,0.0505,0.0221,0.0072,0.0011
19960930,-3.8474,-2.9493,0.2273,0.0296,0.0509,0.0195,0.0069,0.0007
19961031,-3.8679,-2.9501,0.2217,0.0257,0.0499,0.0172,0.0068,0.0006
19961130,-3.9334,-2.9966,0.205,0.0221,0.0503,0.014,0.0069,0.0007
19961231,-3.9064,-2.951,0.2073,0.0241,0.0491,0.0182,0.0069,0.0017
19970131,-3.9623,-2.9976,0.1962,0.0244,0.0503,0.0186,0.0067,0.0014
19970228,-3.9646,-2.9908,0.1944,0.0229,0.0501,0.0193,0.0063,0.0015
19970331,-3.9175,-2.9347,0.2148,0.0211,0.0514,0.0209,0.0063,0.002
19970430,-3.9721,-2.9889,0.2017,0.0169,0.0516,0.0189,0.0061,0.003
19970531,-4.0267,-3.0432,0.1929,0.0133,0.0505,0.0196,0.0062,0.002
19970630,-4.067,-3.0832,0.1843,0.0108,0.0493,0.0195,0.0061,0.002
19970731,-4.1385,-3.1577,0.172,0.0116,0.0505,0.0132,0.0061,0.002
19970831,-4.0755,-3.0978,0.1855,0.0129,0.0514,0.0158,0.006,0.0025
19970930,-4.1236,-3.1488,0.178,0.0146,0.0495,0.0154,0.0055,0.0026
19971031,-4.0849,-3.1213,0.19,0.0163,0.0497,0.0126,0.0057,0.0094
19971130,-4.125,-3.1726,0.1807,0.0157,0.0514,0.01,0.0055,0.0027
19971231,-4.1371,-3.1959,0.1788,0.0156,0.0516,0.0086,0.0056,0.0022
19980131,-4.1441,-3.2075,0.1788,0.0137,0.0504,0.0085,0.0058,0.0025
19980228,-4.2091,-3.2771,0.1655,0.0121,0.0509,0.009,0.0058,0.0011
19980331,-4.2548,-3.3273,0.1811,0.0165,0.0503,0.0099,0.006,0.0011
19980430,-4.2572,-3.3412,0.1759,0.0164,0.0495,0.0109,0.0064,0.0016
19980531,-4.2317,-3.327,0.1791,0.0191,0.05,0.0092,0.0061,0.001
19980630,-4.2639,-3.3706,0.1781,0.024,0.0498,0.0078,0.006,0.0021
19980731,-4.2482,-3.3664,0.1794,0.0254,0.0496,0.0088,0.006,0.0022
19980831,-4.0866,-3.2165,0.2114,0.0285,0.049,0.0057,0.0062,0.0093
19980930,-4.1431,-3.2847,0.2032,0.0241,0.0461,0.0056,0.0069,0.01
19981031,-4.2193,-3.3652,0.1855,0.0207,0.0396,0.0144,0.0081,0.0052
19981130,-4.2757,-3.426,0.1748,0.022,0.0441,0.0094,0.0093,0.0019
19981231,-4.3294,-3.4842,0.1736,0.0201,0.0439,0.0103,0.0101,0.0033
19990131,-4.3644,-3.5185,0.1703,0.0156,0.0434,0.0102,0.0105,0.0033
19990228,-4.3264,-3.4798,0.1713,0.0184,0.0444,0.0143,0.0099,0.0035
19990331,-4.3593,-3.512,0.1729,0.0207,0.0444,0.0148,0.0091,0.0032
19990430,-4.3966,-3.5266,0.1568,0.0252,0.0429,0.0165,0.0084,0.0027
19990531,-4.3713,-3.4792,0.1602,0.0259,0.045,0.0165,0.0079,0.0031
19990630,-4.4243,-3.5105,0.1542,0.0189,0.0457,0.017,0.0079,0.0024
19990731,-4.3879,-3.4543,0.1588,0.0194,0.0455,0.0184,0.0076,0.0016
19990831,-4.3777,-3.425,0.1562,0.0189,0.0472,0.0177,0.0075,0.0027
19990930,-4.3449,-3.3735,0.1637,0.0204,0.0468,0.0178,0.0081,0.0027
19991031,-4.4045,-3.4027,0.1577,0.0204,0.0486,0.0165,0.0083,0.0049
19991130,-4.4224,-3.3911,0.1555,0.0183,0.0507,0.0155,0.0079,0.0014
19991231,-4.4776,-3.4178,0.1472,0.0179,0.052,0.0162,0.0064,0.0011
