date,mkt_rf,smb,hml,rf
20240131,0.0014195,-0.0058492,-0.00285153,0.00043279
20240229,-0.05616813,-0.00582572,-0.03800835,0.00041919
20240331,0.01185536,-0.01657482,-0.00017624,0.00012981
20240430,0.01354899,0.00383555,0.02509386,0.00043635
20240531,0.00559217,0.02917297,0.01847311,0.000201
20240630,0.00632365,0.00404131,-0.00668224,0.00014507
20240731,0.00029336,0.01618337,0.02658285,0.00032325
20240831,0.01546698,0.01304743,-0.02488335,0.00026007
20240930,0.02063144,0.02454175,0.00637005,0.00025842
20241031,0.07734743,0.00811386,-0.05389058,0.00024352
20241130,-0.01582431,-0.02296082,0.04951293,0.00041375
20241231,-0.00584712,-0.01052876,0.0080665,0.00031203
20250131,0.0653842,-0.01025454,0.00257458,0.00031366
20250228,0.01727052,-0.01294363,-0.02268959,0.00023923
20250331,0.00324589,0.02263455,-0.02868359,0.00020578
20250430,0.07037091,-0.02561673,-0.00538022,0.00011572
20250531,-0.00248955,-0.00256456,0.0099743,0.00044847
20250630,0.07079323,0.02854391,-0.03403889,0.00043047
20250731,-0.00981571,-0.01302633,-0.00965074,0.00039367
20250831,0.00725771,0.01059187,0.0084864,0.00030151
20250930,0.03148698,0.03031081,0.01481557,0.00020019
20251031,0.01232665,-0.01823515,0.00355598,0.00011376
20251130,0.00276832,0.00865491,-0.00704597,0.0002888
20251231,-0.01830823,-0.01397911,0.03507091,0.00043973
